,RIO LIMARI EN PANAMERICANA,RIO QUILIMARI EN LOS CONDORES
1950.0,3.593680804667331,0.3360719507245175
1951.0,6.558326101038259,0.49406329198601345
1952.0,10.655858315992068,0.4408371621141201
1953.0,20.854102068933543,0.5866870194054865
1954.0,12.163985477507994,0.45282522755281107
1955.0,4.671401703459217,0.3479614311770984
1956.0,2.412482789002221,0.22603120923228234
1957.0,33.4619431727794,0.3533204301768344
1958.0,7.9613695679357805,0.2854943757961436
1959.0,1.9883981192120155,0.2695348096529984
1960.0,2.32163534622646,0.36518482046926065
1961.0,10.7407376439238,0.2745964786509621
1962.0,2.4163315911432925,0.4004973517843031
1963.0,22.241614994900115,0.40501462218222967
1964.0,4.264138298179588,0.50698709690783
1965.0,48.386657354388284,0.7914297987567607
1966.0,15.645188807052635,0.5000968465456176
1967.0,1.776248487193267,0.44315580026712503
1968.0,0.8884551917465369,0.11082928747429001
1969.0,1.8001762075030985,0.31723639549375426
1970.0,12.314186614678485,0.3508453714109641
1971.0,18.957802323720966,0.31589394231725765
1972.0,5.547963338222601,0.5746153846873868
1973.0,5.996863690173215,0.3663051939439059
1974.0,1.3131219681767627,0.2487413722478238
1975.0,0.7649570261262825,0.2813258373501421
1976.0,0.8048157064538798,0.02216312782199879
1977.0,4.920530801646568,0.37612859703021
1978.0,13.211374986097894,0.3851988764361876
1979.0,3.508588156883255,0.21835033047179375
1980.0,11.62236383776723,0.41735322760758803
1981.0,5.7151604590966985,0.44052351088594527
1982.0,4.304161750788791,0.7491050911209269
1983.0,25.027048959971818,0.536571880133433
1984.0,49.62799807689539,0.4236609426796743
1985.0,12.205206174701393,0.33607906902554907
1986.0,5.04518152680744,0.24103109713002982
1987.0,56.904215762970246,0.26777944674414217
1988.0,28.956133737439092,0.3132863405735564
1989.0,10.51830241305034,0.26410315656992933
1990.0,7.638898150073252,0.3603391723655373
1991.0,9.347433681579464,0.322313803409355
1992.0,19.11554171413957,0.3981517856298982
1993.0,11.716181378616577,0.6863156441255107
1994.0,3.598738391602121,0.20131381930879186
1995.0,3.134321310260777,0.45104241875887463
1996.0,0.5182495337622812,0.17169976619285296
1997.0,57.831131855530664,0.5606207588999076
1998.0,15.353892223367785,0.3038194252631515
1999.0,4.486671519942617,0.176543762675712
